And this?	و هذه؟
Look who's in a heap of trouble.	-انظروا من وقعت في مشكلة وخيمة .
I got a great idea.	لديك فكرة جيدة
And she was very natural.	كانت تتصرف بطبيعتها
Hacked?	أخترق؟
Extent of the use of privilege in communications between organs of the Government and their legal advisers.	مدى الانتفاع بحق الامتياز في المراسلات التي تتم بين الهيئات الحكومية ومستشاريها القانونيين.
Wash the floors, making some lunch and dinner, taking care of kids as a nanny.	مسح الأرضية و تحضير الطعام و الاعتناء بالأطفال
When did you become so cynical?	-منذ متي اصبحتي متهكمة؟
Those issues should be considered in the establishment of any peace operation.	وينبغي النظر في تلك المسائل لدى إنشاء أي عملية من عمليات السلام.
Well, that is your call. But if you're gonna let an old grudge	حسناً، هذا قرارك لكن إن كنتَ ستدع ضغينةً قديمة
El.	(آل)
Yeah, I think so.	أجل, أظن ذلك
Mama.	! ماما
This planned deployment hinges, however, on the provision of logistic and infrastructure support.	17 - بيد أن هذا النشر المخطط يتوقف على توفر الدعم في مجالي الإمداد والهياكل الأساسية.
Latin puns. What fun.	تورية لاتينية يا لها من متعة
I definitely feel more relaxed.	وأشعر بكثير من الأسترخاء
That's true.	-هذا صحيح .
I hear voices. There's a difference.	بل أسمع أصواتاً، هنالك فرق
You gonna dry it?	ألن تجففيها؟
Freddie Let Me Up. He Asked Me To Give You Those.	فريدي) أدخلني) طلب مني أن أعطيكِ هذه
Conrad, Daniel, come here.	(كونراد)، (دانييل)، تعاليا هنا
"Yeah, well...	"نعم, حسنٌ.
I think our William's found his new muse.	أظن أنَّ ويليام عثر على مُلهمة جديدة
Committing the crime and causing particularly serious consequences, the offenders shall be sentenced to between fifteen and twenty years of imprisonment.	Committing the crime and causing particularly serious consequences, the offenders shall be sentenced to between fifteen and twenty years of imprisonment.
But sir, be you ruled by me. I have brought you from Venice.	و لكن يا سيدي دعني اقودك "يما اننى احضرتك من" البندقيه
Whatever happened in here has nothing to do with my equipment.	أياً كان ما حدث هنا ليس له علاقة بمعداتي
What are you guys doing?	ماذا تفعلون؟
She gets a little confused sometimes.	إنها ترتبك في بعض الأحيان
- I have to talk to my Boss.	-علي أن أتحدث مع رئيسي
Oh, I'll catch a big fish.	أوه، سوف أصطاد سمكة كبيرة
Now FBI and Homeland Security believe we have an A.R. cell operating inside the United States.	الآن مكتب التحقيقات الفدرالي والأمن الدولي، يعتقدون أن لدينا خلية من عناصر "الرساله" تجهز لعمليات داخل الولايات المتحدة
There's plenty of room for moral passion once we've got the facts and can figure out the best thing to do.	هناك الكثير من الوقت للفض عن المشاعر بعد أن نعرف الحقائق.. ونعرف افضل الطرق لمعالجة الأمر.
Excuse me? Now!	عذراً - الآن -
I just... wanted to humiliate him.	أنا فقط أردتُ إذلاله
[A/52/47, annex XI, section I.A, para. 4]	[A/52/47، المرفق الحادي عشر، الفرع أولا - ألف، الفقرة 4]
All right, well, look, to do everything,	ستخرج منى أنا حسنا, أنظري, لإنجاز كل شيئ
- Too powerful?	- قوية جدا؟
And the president needs you to vote no on tonight's bill.	والرئيسة يَحتاجُك لتَتصويت يلا على فاتورةِ اللّيلةِ.
Draft country programme document for Georgia (DP/FPA/DCP/GEO/1);	مشروع وثيقة البرنامج القطري لجورجيا (DP/FPA/DCP/GEO/1)؛
Please make it easy on me and lend me Fire Monkey	هذاصحيح!
Touch down. I am on the bottom.	وصلت للأسفل أنا في القاع
Is there anyone who's not done with work?	أهنالك أحد لم ينهي عمله بعد؟
Is that our guy?	هل هذا رجلنا ؟
It snapped.	لقد علقت
Economic Commission for Latin America and the Caribbean	اللجنة الاقتصادية لأمريكا اللاتينية ومنطقة البحر الكاريبي
- At least we had that hash.	-على الأقل حصلنا على لحم مفروم
An earthquake?	زلزال ؟
TRADE ISSUES, MARKET ACCESS AND SUPPLY CAPACITY	رابعا - قضايا التجارة والوصول إلى الأسواق وطاقة العرض في أقل البلدان
Yeah. I mean...	نعم انا اعنى
It's hard to say.	من الصعب التحديد
What do you got?	ماذا حصل؟
Come on, let's get warm.	هيا، لنحمّي
Ajay Rathore's mother is with us today	معنا والدة أجاى راتهود
They have no respect for drivers, pedestrians, or clearly, the law.	ليس لديهم أي احترام للسائقين، وللمشاة، أو كما هو واضح، و القانون
In the United States approximatively sixteen million children go to an emergency department due to some form of injury every year.	تقريبا حوالي16000000 طفل يذهب إلى قسم الطوارئ في الولايات المتحدة بسبب شكل من أشكال الإصابة كل عام.
- Hi.	مرحباً و
Because this boat's ours.	لان هذا القارب لنا
It's OK, George.	لا بأس يا (جورج)
Get in here.	تعال إلى هنا
Tell me what you think.	أخبرني ما رأيك
Luck.	الحظ!
Oh, Sean finally got the blacklight working on the bus and Tammy's already rolling around in glow-in-the-dark paint.	أصلح شون مصباح الأشعة فوق البنفسجية على متن الحافلة و(تامي) تقوم بالدوران بطلاء وهاج
And you never talked.	وليس هل،
I'm still cold.	ما زلتُ بردنًا.
Our being together ought not to seem so outlandish a proposition...	يجب ألا تكون فكرة وجودنا معاً بعيدة المنال
You cannot.	لا تستطيعين.
I'm here to stay!	سوف أبقى!
- 'Cause they don't happen very often.	-لأنهم لن يفعلوا ذلك دائما .
See Official Records of the Economic and Social Council, 2006, Supplement No. 4 (E/2006/24), chap. I, sect. C, para.	() انظر الوثائق الرسمية للمجلس الاقتصادي والاجتماعي، 2006، الملحق رقم 4 (E/2006/24)، الفصل الأول، القسم جيم، الفقرة 3.
Do you recall a young man by the name of Michael O'Donnell who came to the felony review unit at your office?	هل تذكر فتى شاب إسمه "مايكل - أودانل"... أتى إلى قسم المراجعة الجنائية فى مكتبك ؟
Now go on.	و الآن اخرج مِن هنا كي أنال قسطاً مِن الراحة.
- from "Any Given Sunday"?	-من فيلم "إني جيفين سنداي"؟
No, I'm fine.	لا، أنا بخير.
Oh, God, no.	يا إلهي , لا
The clouds, the ﬂowers, and even the moon.	الغيوم, الزهور, وحتّى القمر
And the next, they take my sons. Now all that is left, are the very young.	أخذوا أبنائي و لم يبق إلا الصغار
So there's no hard feelings?	إذا ليست هناك أية مشاعر قاسية؟
This resolution also demands action.	وهذا القرار يتطلب العمل أيضا.
There are four specific examples of the contribution the Council of Europe makes to the work of the United Nations to which I wish to draw the attention of the Assembly.	وهناك أربعة نماذج محددة لمساهمة مجلس أوروبا في أعمال الأمم المتحدة أود أن أسترعي انتباه الجمعية إليها.
We have to meet with the Germans.	-يجب أن نجتمع مع الألمان
Well, I look forward to that.	-حسنًا، أتطلع لهذا
Be tired.	يكون متعبا.
Um... I don't think so.	لا اظن ذلك.
- That we were hooking up his wife?	أننا كنا نريد (تزويج) زوجته لرجل آخر؟
See resolution 60/1.	() انظر القرار 60/1.
Come on, Liam.	. هيا (ليام)
It calls you "the king of wham-bam action."	اسمه " ملك اثارة هوم بام "
Brian, Brian, punt, punt.	براين، براين، براين
The same.	-بدأ من جديد.
Annex II	المرفق الثاني
Did anyone ever threaten him before?	هل قام اى شخص بتهديده من قبل ؟
I started writing and it seemed that in the masses treated with a superior dilettantism I would find a suitable excitement and the matter of some decadent exercises.	كنت قد بدأت الكتابة و قد بدا ذلك لجموع الناس على أنه نوع من العمل الرفيع الذي يمارسه الهواة
-The next step in my five-year plan!	أول مقالة منشورة لي
Bye.	وداعاً.
- One that works. Okay?	حسنا ؟
I'll have you know I've worked for the Miracle Network a number of times.	لعلمك، أنا عملت في شبكة المعجزات من قبل عدة مرات :بعد قليل
At its fifty-second session, the Sub-Commission had before it the working paper prepared by Mr. Kartashkin (E/CN.4/Sub.2/2000/2).	178- وقد عرضت على اللجنة الفرعية في دورتها الثانية والخمسين ورقة العمل التي أعدها السيد كارتاشكين (E/CN.4/Sub.2/2000/2).
International assistance to States affected by the transit of illicit drugs	تقديم المساعدة الدولية إلى الدول المتضرّرة من النقل العابر للمخدّرات غير المشروعة
What are you doing here?	مالذي تفعله هنا؟
He never went back to the first victim's family.	إنه لم يعد أبداً إلى أسرة الضحية الأولى.
-Yes, Lieutenant.	نعم، أيها المساعد
You seem like a milk and sugar kind of girl.	أنتي فتاة مثل الحليب و السكر
How about sparring for old time's sake? Stop it.	منذ أن أتيت لماذا لا تقم بالإحماء؟
Well, all right, then.	أذن حسناً
This means an end to the duplication of effort, a strengthening of coordination on the ground, a trustworthy system of monitoring and evaluation, and a single-minded focus by all on achieving results.	ويعني هذا وضع حد لازدواج الجهود، وتعزيز التنسيق على أرض الواقع، ووضع نظام جدير بالثقة للرصد والتقييم، والتركيز التام من جانب الجميع على تحقيق نتائج معينة.
Daddy said Shiven ran away.	أباكي قال أن شيفين هرب مجدداً.
Peace offering implies a one-time thing.	عرض سلام ينطبق في حاله واحده
Race you to the river.	هيا نتسابق إلى النهر
Totally.	Totally.
Okay, so I think the best way to prep would just be to go through some sample questions.	حسناً،أعتقد ان أفضل وسيلة للإعداد هي أن تجتازي بعض الأسئلة كعينة
- I owe money there.	-هناك من يدين لي بالمال
I know you are in communication with Tyndale.	اعرف أنك على تواصل مع تيندال.
Recalling Article 13, paragraph 5, of the Kyoto Protocol,	إذ يشير إلى الفقرة 5 من المادة 13 من بروتوكول كيوتو،
- Hi.	اهلاً
It wasn't coming for us. It was just sitting!	هو ماكان يجي عشاننا يجي ويجلس بس ..
- Who?	-من؟
Bianca.	(بيانكا).
Iran has even proposed regional and multinational participation in its uranium enrichment facilities – only to be met by resounding silence from the Western powers.	حتى أن إيران أعلنت عن ترحيبها بالمشاركة الإقليمية والدولية في منشآتها النووية الخاصة بتخصيب اليورانيوم ـ إلا أن القوى الغربية استقبلت هذا الاقتراح بالصمت المطبق المريب.
No. The jury heard Michael's tape.	(لا، لقد استمعت الهيئة لشريط (مايكل
Me either.	وانا ايضا
We're going to Baldev's for lunch.	نحن نذهب إلى بالديف للغداء
I've been just where you are right now.	لقد كنت تماما حيث أنت الآن.
_	أيعقل هذا؟
On 27 December, Israel commenced a major offensive on the Gaza Strip.	وفي 27 كانون الأول/ديسمبر، شنت إسرائيل هجوما كبيرا على قطاع غزة.
What are they saying?	ماذا يقولن؟
Can you do without me?	هل تستطيع أن تفعل هذا لأجلي هل تستطيع أن تفعل هذا لأجل (أنطوان)
The Boston Police Department and the US Department of Justice would like you to know that this headline is incorrect and that the two men pictured here are not suspects in the Boston Marathon bombing.	يود مركز شرطة (بوسطون) و وزارة العدل الأمريكية أعلامكم أن هذه الأخبار غير صحيحة و أن الرجلان الأثنان التي صورتهم واضحة هم ليسوا بمشتبهين
Because if it is, I want my money back.	لأنّه إذا كان ذلك المعنى المقصود، فأودّ استعادة نقودي.
Okay bro'.	حسنا , يا صديقي
These include the following.	وهذه تشمل ما يلي.
What light?	-أيّ نور؟
Did you call the sheriff out there?	هل اتصلت بالعمدة هناك؟
Okay okay, perfect.	حسنا حسنا
Okay, so I think we've got something.	أظن أننا وجدنا شيئاً
AM I LATE?	هل أنا راحل؟
No, you should say like a flea when referring to lightning fast reflexes.	"كلاّ، يجب أن تقول مثل "برغوث عند الإشارة إلى ردّود الأفعال السريعة
While I'm being shoved away, mocked and spat on by her doting husband?	نعم، التحدي هو في تمزيق هيئة المحلفين الثالثة
Okay, yeah. All right.	حسنا ، أجل ، تمام
The low status of women in many societies fuels the transmission of HIV and worsens its impact.	46 - ويزيد الوضع المتدني للمرأة في العديد من المجتمعات من حدة انتقال عدوى فيروس نقص المناعة البشرية ويؤدي إلى تفاقم أثره.
What's going on?	(بايج) تعتقد أن لديها عائلة سيئة,
Look tough.	انظر صعبة.
- I'll take one.	-سآخذ واحداً.
The planning staff are responsible for providing the Executive Committee, through the Joint Planning Group, with coordinated operational programmes to implement the Mission's policy objectives.	ويضطلع موظفو التخطيط بمسؤولية إعداد برامج تشغيلية منسقة وتقديمها إلى اللجنة التنفيذية، عن طريق فريق التخطيط المشترك، لتحقيق الأهداف المتوخاة من سياسات البعثة.
Anna, what are you doing?	(آنا) ، ماذا تفعلين؟
Similarly, a contingent from another troop-contributing country which is based at Lake Albert, a place of natural beauty, offers recreational facilities to those of its members who are deployed in remote areas.	وعلى نحو مماثل، فإن وحدة من بلد آخر من البلدان المساهمة بقوات، ومقرها في منطقة بحيرة آلبرت المعروفة بجمالها الطبيعي، توفر مرافق استجمام لأفرادها المنتشرين في المناطق النائية.
The Cook Islands has one major port of entry, Rarotonga.	4-15 ولجزر كوك ميناء دخول رئيسي واحد، هو راروتونغا.
You grew up in Witness Protection.	لقد كَبرتَ تحت حماية قسم الشهود
Blair?	بلير؟
Oh, boy. Oh, boy.	يا ألهى , يا ألهى
Deal with it.	تعامل مع الأمر
Can you just give us a minute here?	هل من الممكن أن تمنحنا دقيقه وحدنا؟
I'm 43.	بل 43 عاماً
- Are you allowed to do that?	- هل تسمح لأن تعمل ذلك؟
Wennerström wasn't entertained much.	ولكن "وينرستروم" لم يروقه كثيراً ما قمت بكتابته بشأنه
Sister Yung!	أيتها الأخت(يونغ)!
You're doubting your decision to give up the baby.	أنكِ مترددة في قرار ترك الطفل.
Has she asked you for anything?	هل طلبت منك شيئاً ؟
- Just got a call from Matthew Lane. - Yeah, I overheard you.	ـ لقد تلقيت مكالمة للتو من (ماثيو لين) ـ أجل، لقد سمعتكم
Rule 27	المادة 27
Mike, will you stop her chatter, please?	(مايك) هلَا اوقفت حديثها؟
I appoint Goong-bok as captain of the security officers, and grant him authority to oversee all shops in the marketplace.	ضباط الأمن ومنحه سلطة للإشراف . على كل المتاجر في السوق
Look...	انظري..
Look,what do you want me to do?	أنظر.. ما الذي تريدني ان أفعله؟
Who knew you were in Draclyn?	من كان يعلم أنك في " دراكلين " ؟
What's first?	بماذا ابدأ اولا؟
'Alexsey Polyakov, cultural attaché here in London.	(أليكسي بولياكوف) متصل بالثقافة هنا في (لندن)
You are overreacting, all right?	أنت تردّ بانفعال، حسنا؟
She commended Ms. Šimonović who, together with Ms. Popescu and Ms. Morvai, had conceptualized the meeting itself, as well as the preparatory work that had been undertaken at the national level in the six participating countries.	وأثنت الرئيسة على السيدة سيمونوفيتش، التي حددت، بالتعاون مع السيدة بوبسكو والسيدة مورفاي، مفاهيم الاجتماع نفسه والأعمال التحضيرية التي تم الاضطلاع بها على الصعيد الوطني في البلدان المشاركة الستة.
This Ordinance was adopted in 1996.	واعتمد هذا القانون في عام 1996.
I'm sorry...!	! ... أنا آسفة
I thought I did.	خلتني فعلت
There he is!	هاهو ذا
When did you see a girl?	متى رأيتِ فتاة؟
Thank you, sir.	شكرًا، سيدي
So I bet Herbert built you guys, like, a super jet or a missile-firing supermobile, right?	أارهن انكِ بسرعة خارقة أو كسرعة الصواريخ الخارقة، اليس كذلك؟
- Because I know.	-لأنني أعرف .
And the cheerleaders had a cheer just for him.	المصفقات كانوا يهتفون لهُ فقط.
The new provisions, considered to be more appropriate to the current social, economic and family circumstances, is mainly aimed at promoting personal autonomy in a spirit of partnership and focus on young people.	وأريد لذلك القانون أن يكون ملائماً أكثر للوقائع الجديدة الاجتماعية والاقتصادية والأسرية، وهو يرمي قبل كل شيء إلى تعزيز استقلالية الأفراد في روح من الشراكة. ويولي القانون عناية خاصة للشباب.
Uh, let me get back to you.	سأعود لك
Okay, clearly, you two shouldn't be in the same room... ever.	حسنا، واضح أنكما لا يجب أن تتواجدا في نفس الغرفة
And then the other option is that, you know,	ثم الخيار الآخر غير ذلك، كما تعلمٍ،
- Great love changes your life.	يغيّر الحبّ العظيم حياتك
There's a third step.	هناك خطوة ثالثة
I was with Ethan at Dan and Theresa's engagement party.	" كنت مع " إيثان " في حفلة خطوبة " دان " و " تيريسا
If there is a heaven, Gwen would be there giving makeovers and offering up helpful advice.	إذا كان هناك سماء , جوين سَتَكُونُ هناك... تعطي تغييراً وتقدّمُ نصيحةَ مساعدةَ.
Those were illegal acts that were being committed using increasingly sophisticated technology, he said, and he demanded a cessation of that aggression.	وقال إن هذه انتهاكات صارخة للقانون الدولي.
That's necessary?	أذلك ضروري؟
I need hardly remind you that you're still bound by the Official Secrets Act.	-انا احتاج انا أذكرك بشدة انك مازلت ملزم بقانون السرية
The fry are growing.	صغار السمك ينمون
All right, yeah. This is our first show.	هذا عرضنا الاول
I call off the FBI investigation on Wallace.	Iاستدعيت تحقيقات الأف بي أي لوالاس.
Grass on the field and all that.	فيما يتعلّق في البلوغ وما إلى ذلك
Go back. Go back again.	كرر المشهد
The Office of the United Nations High Commissioner for Human Rights supported the establishment of a women's human rights unit in a non-governmental organization in Palestine which is engaged in legal research and education and provides legal aid to individual women and women's groups.	ودعمت مفوضية الأمم المتحدة السامية لحقوق الإنسان إنشاء وحدة معنية بحقوق الإنسان للمرأة في منظمة غير حكومية بفلسطين تعكف على البحث والتثقيف في المجال القانوني وتوفر المساعدة القانونية للنساء وللجماعات النسائية.
Instead, the lottery of my destiny bars me the right of voluntary choosing.	لكنه، ذلك الاقتراع يحرمني حق الإختيار وفق هواى
To put it mildly, I didn't do very well.	لأُلطف الموقف أقول، لم أبلي بلاء حسناً.
You met him, remember?	-لقد قابلته ، أتذكر ؟
Yeah, funny story about that.	نعم , يالها من قصة مضحكة .
The Committee shall make every effort to reach agreement on any decisions by consensus.	9- يبذل أعضاء اللجنة قصارى جهودهم للتوصل إلى اتفاق على أي مقررات بتوافق الآراء.
But, uh, perhaps one last tickle before we say au revoir to our little fuzzy friend?	حسنا , و لكن قبليني اولا قبل ان اقوم بحلقه.
- It's comforting.	-انها مريحة .
- Is it now?	-هل هذا الوقت الحاضر ؟
The point is, you've got to be paranoid, Kenneth.	المغزى هو أنك يجب أن تكون متشكك يا كينيث
Please get off of my skis!	أنا آسفة أنا بخير
But a corporation’s wishes should not be automatically and necessarily equated with those of its management.	ولكن لا ينبغي لرغبات الشركات أن تتساوى تلقائياً وبالضرورة مع رغبات من يتولون إدارتها.
I love you. It's over.	انتهى الامر
After major reworking of the provisions on the form and procedure relating to reservations and objections, this draft article — which simply reiterated mutatis mutandis the similar provision on the withdrawal of a reservation — was abandoned, without the reasons for this being clear from the Commission's work.	وإثر التعديل الكامل الذي أجري على الأحكام المتعلقة بالشكل والإجراءات المتصلة بالتحفظات والاعتراضات()، يتم التخلي مع ذلك عن مشروع المادة هذا - الذي لا يعدو أن يكرر، بعد إجراء التعديلات اللازمة، الحكم المشابه المتصل بسحب الاعتراض() - دون أن تبرز من أعمال اللجنة الأسباب التي دعت إلى التخلي عنه.
He was a condescending little prick.	كانَ أحمقاً مُذلاً
- (Sighs)	- (التنهدات)
Butters, Butters, where are you now?	(بترز)، (بترز)، أين أنت الآن؟
"Facebook-me" was the common expression after two weeks.	"(أضفني في الـ(فيس بوك " كان تعبيراً شائعاً بعد إسبوعين
This is too much!	هذا كثير
Followed you home from the precinct yesterday.	-تعقبتك بعد عودتك من القسم بالأمس ..
You must run into a lot of luck.	50,000دولار، ربّما أنت محظوظ جداً
The game was lame, and now he's lame from the kick.	اللعبة كانت سخيفة و هو الآن سخيف من الركلة
And I resent being put in this position.	أنا أكره وضعي فى هذا الموقف
The pay's pretty good, and you could do it for as long as you need.	والأجور امر جيد جدا، وكنت يمكن أن نفعل ذلك لطالما التي تحتاج إليها.
..turns out to be a smart player..	تبين أنه لاعب ذكي
Brown sedan, license pings back to a Wade Messer.	سيارة " سيدان " بنية تعود لوحاتها لمنطقة " ماسير "
His bark is worse than his bite.	نباحه أسوأ من عضه
And so is Vlad.	وكذلك "فلاد".
It was further suggested by some delegations that the Tribunal should foster greater awareness and encourage participation in its internship programme by persons from developing countries.	كما اقترح بعض الوفود كذلك أن تسعى المحكمة إلى زيادة الوعي وأن تشجع اشتراك أشخاص من البلدان النامية في برنامجها للتدريب الداخلي.
The reason I didn't want you to have that party is	السبب الذي لم أرغبك أن تحيي تلك الحفلة هو،
I can see why it'd be hard to pinpoint.	يمكنني أن أرى لماذا من الصعب التحديد بدقة أنا أعلم, صحيح؟
Plus I can be close to my dear friend.	بالإضافة إلى أنني سأكون على مقربة من صديقتي العزيزة
Thanks, Randy.	شكراً، شبق.
How certain can you be that this is Parsa's compound?	كم أنت متأكد أن هذا معسكر بارسا؟
(c) Public information programme.	(ج) برنامج الإعلام.
Open the door!	إفتح الباب!
All my songs are in it. - 'Better still, I'll show you a story.'	كل ما عندي من الأغاني هي في ذلك. - 'أفضل لا يزال، وسوف تظهر لك قصة.
Well...	حسناً...
You don't think it's wrong, all of us being here together?	* ربطة عُنق *
Possessor of the highest rank , Lord of power : He makes the inspiration to light by His command upon whom He pleases of His servants , that he may warn ( men ) of the day of meeting .	إن الله هو العليُّ الأعلى الذي ارتفعت درجاته ارتفاعًا باين به مخلوقاته ، وارتفع به قَدْره ، وهو صاحب العرش العظيم ، ومن رحمته بعباده أن يرسل إليهم رسلا يلقي إليهم الوحي الذي يحيون به ، فيكونون على بصيرة من أمرهم ؛ لتخوِّف الرسل عباد الله ، وتنذرهم يوم القيامة الذي يلتقي فيه الأولون والآخرون .
- Can we put him in a hip-hop context?	هل يمكننا أن نضعه في سياق مرح؟
Here, in church, they baptized us, they confirmed us.	فى هذه الكنيسة تم تعميدنا كلنا وتم التصديق علينا
1.4.7 Unilateral statements providing for a choice between the provisions of a treaty	1-4-7 الإعلانات الانفرادية التي تنص على الاختيار بين أحكام معاهدة()
Keep him working?	هل سيستمر بالعمل؟
The producer of the movie thinks you suck.	منتج الفيلم يجدك فاشل
The same night, your father was drugged in the same apartment.	في نفس الليلة... تم تخدير والدك في نفس الشقة.
Go!	انطلق
The Bureau serves for two years, as far as possible.	وتستمر ولاية أعضاء المكتب سنتين إن أمكن.
What happened?	ماذا حدث؟
I knew it!	لقد توقعت ذلك
I wanna get a man aloft day and night!	أريد رجلاً بين أشرعة الصاري ليلاًَ و نهاراً
Do you have a draft of the bill you can show me?	هل لديكِ مسودة للقانون بوسعكِ عرضها عليّ؟
(a) The activities of her Office relating to the implementation of the right to development, as contained in her mandate;	(أ) أنشطة مفوضيتها المتعلقة بإعمال الحق في التنمية كما هو وارد في ولايتها؛
The only person who was different.	الشخص الوحيد الذي كان... مختلفاً...
At its 5th meeting, the SBSTA agreed to continue its consideration by way of informal consultations co-chaired by Ms. Jimena Nieto (Colombia) and Ms. Outi Berghall (Finland).	33- اتفقت الهيئة الفرعية، في جلستها الخامسة، على مواصلة نظرها في البند من خلال مشاورات غير رسمية تشترك في رئاستها السيدة جيمينا نييتو (كولولمبيا) والسيدة أوتي برغال (فنلندا).
Carl, look.	أنظر يا كارل
Best buddy kind of thing.	أفضل رفيق نوعا ما.
Yes, perhaps.	نعم، ربما.
- Yeah. Not the quickest movers.	ليسوا ممن يتحرك سريعاً
Entitlement to a daily allowance, to be paid without regard to working days, Sundays or holidays, and equal to 50 per cent of the weekly wage divided by six (i.e., the daily wage) as from the first day following the accident.	الحق في تعويض يومي دون تمييز بين أيام العمل، وأيام الأحد وأيام العطل، يساوي 50 في المائة من الأجر الأسبوعي مقسوماً على 6 (الأجر اليومي) ابتداءً من أول يوم يلي تاريخ الحادث.
This was a mistake.	وكان هذا خطأ. يجب على أن أذهب.
michael Jackson, Gene kelly...	مايكل جاكسون.. جين كيللي
- Nope.	-لا
So these sailors, they drew shapes in the sky...	كان اولئك البحارة يرسمون أشكالا فى السماء
Let's see what you got.	أرنا ما لديك
You found her, didn't you?	وجدتها أليس كذلك ؟
Manny, see why your mother's taking so long.	ماني) اعرف لماذا والدتك) تستغرق وقتاً طويلاً
I did not see that coming.	لم يخطر ببالي أبداً
He must be in Milazzo or thereabouts.	أظن أنه في ميلازو أو في مكان قريب منها
We can look back four and a half days.	يمكننا ان ننظر للخلف اربع ايام و نصف
No, wait. Come here.	لا , انتظري تعالي الى هنا
Dearie, dearie, dearie.	عزيزتي، عزيزتي.
[ sighs ] come on.	بالله عليك هذا جنون
They're not worms, Dwight, okay?	هؤلاء ليسوا ديدان
Odd.	تزايدية
Haven't I seen this crest before?	ألم أرّ هذه العلامـة من قبـل؟
Eisbiber and hasslichen have lived by certain customs for centuries!	"الـ "آيسبيبريين" والـ "هاسليشيين عاشوا وفقاً لعادات معينة طيلة قرون
How about a match?	ماذا عن كبريت؟
Where did you get these? Where did I get them?	من أين حصلت عليهم ؟
Thank you, Mr. Compagna.	شكراً لك يا سيد (كامبانيا)
Plus, he was looking at me the whole night and then he tosses the shrimp at her?	بالاضافة، كان ينظر الي طوال الليلة ثم قذف الروبيان عليها؟
N-No, I've learned it's none of my business.	لا، عرفت أنها ليست من شأني
All I asked for was a scrying bulb.	كل ما طلبته هو وعاء زجاجى
Drop her, Kraglin.	إسقاط لها، كراغلين.
Giddy up, come on.	بربك!
Am I bothering you?	هلأزعجك؟
Aah!	آه!
- I don't know, my name carries a little weight, but I don't see how that matters here.	-لا اعلم اسمي يحمل القليل من الوزن لكنني لا اعلم كيف هذا يهم هنا
Haven't we all	الم ننتهي؟
Yeah, well, that should do it.	أجل, أظن أنه كافٍ
Human rights in question (Cotonou, December 1998);	8- ماهية حقوق الإنسان (كوتونو، كانون الأول/ديسمبر 1998)؛
She's downstairs with Marcy until you get back.	بالأسفل مع (مارسى) حتى تعود أنت
Article 45	المادة 45
I could tell you it gets better, but I'd be lying.	بإمكاني أن أخبرك ان الامور ستتحسن لكنني سأكذب عليك بهذا الكلام
The first five teams were sent to Mazar, Gardez, Jalalabad, Kunduz and Bamyan on 10 June.	وأوفدت الأفرقة الخمسة الأولى في 10 حزيران/يونيه إلى مزار وغارديز وجلال أباد وكندز وباميان.
Hey, Lois, I didn't flush. I want you to come see it.	لويس) ، لم أدفق الماء) أردتكِ أن تأتي وتريه
Wait, Einstein?	مهلاً، (آينشتاين)؟
How about we set a date? A month?	ما رأيك أن نحدد موعد؟
You have yourself a fine evening.	لديك منفعة هذا اليوم
Second, Sierra Leone was a post-conflict country with fragile institutions and, as such, it required quick-impact interventions and bridging funds in order to restore public confidence in the peace process.	وثانيا، تعد سيراليون بلدا خرج من الصراع بمؤسسات هشة ويحتاج بالتالي إلى تدخلات سريعة الأثر وإلى أموال لسد الثغرات من أجل استعادة ثقة الناس في عملية السلام.
During this span of 20 years, it is estimated that nearly 56 million people have been infected and over 22 million have already died.	وخلال فترة السنوات العشرين هذه، تشير التقديرات إلى أن ما يقارب من 56 مليون نسمة أصيبوا بالعدوى وأن أكثر من 22 مليونا لقوا حتفهم.
20 minutes or so, it starts to wear off and they take another drink.	وبعد 20 دقيقه يذهب تأثيره فيشربون واحدا اخر
Yeah, it was on the flyer. I never saw it before that.	أجل كانت علي النشره لم اراها من قبل
Ah, you have caused me no end of trouble.	انت سببت لي مشاكل كثيرة
Which gives off an even bigger gamma ray burst	وهذا سيعطينا أندفاع أكبر لأشعة جاما
(a) that the debtor has its centre of main interests in the State; or	(أ) أن يكون مركز المصالح الرئيسية للمدين في تلك الدولة؛ أو
(g) Not to use or recruit children under the age of eighteen as soldiers. The Sudanese People's Liberation Army is urged not to use or recruit children under the age of eighteen as soldiers, and to refrain from the practice of forced conscription;	(ز) الامتناع عن استخدام أو تجنيد الأطفال الذين تقل أعمارهم عن ثمانية عشر عاما، وامتناع جيش التحرير الشعبي السوداني عن استخدام أو تجنيد الأطفال الذين تقل أعمارهم عن ثمانية عشر عاما، وعن ممارسة التجنيد الإجباري؛
Security	الأمــن
Persian man walks into a bar, meets a beautiful woman, has a few drinks.	دخل رجل فارسي لحانة التقى بفتاة جميلة، شربا معا
What is your problem?	ماهي مشكلتك ؟
- She cast aspersions on my manhood.	-لقد سخرت من أعضائي التناسلية
Correspondents' dinner?	عشاء المراسلين؟
Hello!	مرحبا!
Dude, do not see you from ...	و لم أرك منذ ذلك الوقت
It's lieutenant Edison's IDC.	انه كود التعريف الخاص بالملازم (اديسون).
- Loosen her collar!	-إفتحوا ياقتها !
- I would rather not see fall down.	-لا أفضل أن أراها
He but follows command.	-إنما هو يتبع الأوامر
Rita?	ريتا؟
I know you, don't I?	أنا أعرفك أليس كذلك؟
